orf,chr,gene,geneflag,WtMean,MutMean,WtMean2,MutMean2,fold.mut.by.wt,p,p.paired,sd.ratio
orf19.1955,Chr5,SHR5,1,317.42,428.23,312.4,286,0.92,0.84,0.84,1.04
orf19.1804,ChrR,,1,1094.54,1731.69,1311.25,1156.06,0.88,0.74,0.48,0.33
orf19.7662,ChrR,RTT103,1,510.84,1182.09,563.19,741.81,1.32,0.52,0.3,1.03
orf19.4395,ChrR,AIP1,1,897.67,1755.43,1006.6,1069.04,1.06,0.83,0.67,0.43
orf19.5107,Chr1,NOT5,1,894.03,1564.7,1065.21,1038.52,0.97,0.91,0.85,0.6
orf19.4589,Chr4,CBP2,1,437.8,864.16,465.07,551.02,1.18,0.52,0.47,2.94
orf19.2521,ChrR,,1,533.65,811.58,561.63,481.11,0.86,0.4,0.21,0.33
orf19.5522,Chr6,,1,515.91,1543.19,599.77,1006.54,1.68,0.22,0.25,1.64
orf19.4730,Chr1,,1,248.89,438.9,223.77,284.17,1.27,0.49,0.54,5.44
orf19.6752,Chr3,RSM10,1,982.99,2105.65,1151.33,1229.11,1.07,0.84,0.81,0.46
orf19.2640,Chr5,FUR1,1,1470.76,2716.22,1867.93,1811.12,0.97,0.84,0.5,0.31
orf19.5894,Chr3,,1,246.24,358.55,214.87,225.32,1.01,0.48,0.48,2.45
orf19.5160,Chr7,SAP190/YJL098,1,621.74,814.67,661.82,500.45,0.76,0.78,0.64,0.81
orf19.2895,Chr4,VMA8,1,666.84,1751.41,806.73,1207.23,1.5,0.58,0.32,0.86
orf19.951,Chr5,,1,509.57,616.64,595.77,460.08,0.77,0.58,0.21,0.2
orf19.1004,Chr1,,1,177.05,218.17,133.57,138.89,0.91,0.54,0.57,2.12
orf19.1239,Chr4,,1,522.2,542.76,590.01,386.62,0.65,0.78,0.74,4.28
orf19.7666,ChrR,SEO3,1,444.83,898,461.94,553.03,1.2,0.3,0.32,0.7
orf19.3422,Chr6,FMP27,1,1087.8,1650.63,1294.12,1063.4,0.82,0.41,0.19,0.26
orf19.3577.1,Chr2,COQ5,1,1099.82,2420.66,1358.98,1482.56,1.09,0.76,0.81,0.67
orf19.2864.1,ChrR,,1,662.88,1050.78,749.43,644.97,0.86,0.34,0.4,0.41
orf19.4203,Chr6,NDC1,1,447.5,864.29,468.43,545.12,1.16,0.34,0.43,0.91
orf19.2094,Chr2,PDR6,1,660.46,1151.39,785.31,760.94,0.97,0.96,0.94,0.66
orf19.6481,Chr7,YPS7,1,326.28,537.52,321.38,345.39,1.07,0.53,0.49,2.1
orf19.1334,Chr7,,1,300.74,449.69,280.82,274.13,0.98,0.86,0.87,1.28
NC-plant-4,NA,NA,0,181.48,250.31,138.36,158.86,1.01,0.29,0.34,2.73
NC-SP-phage-06-1,NA,NA,0,251.96,332.38,227.35,217.32,0.96,0.62,0.68,2.55
NC-SP-phage-06-8,NA,NA,0,227.49,322.98,197.35,209.2,1.05,0.35,0.39,19.38
NC-SP-phage-06-14,NA,NA,0,287.97,424.78,297.11,298.11,1,0.4,0.4,15.66
orf19.3320,Chr1,,1,180.72,222.93,141.96,142.53,0.87,0.56,0.58,1.82
orf19.3147,Chr2,,1,574.97,1270.62,675.82,899.01,1.33,0.34,0.2,0.73
orf19.1405,Chr2,PHO13,1,276.45,413.25,262.12,260.1,0.99,0.45,0.46,154.49
orf19.462,ChrR,PRP12,1,253.55,342.1,228.55,213.29,0.93,0.46,0.46,8.97
orf19.7381,Chr3,LYS145,1,337.94,448.76,334.59,284.05,0.85,0.96,0.96,1.1
orf19.5982,Chr3,RPL18,1,21377.8,43712.88,27100.96,27439.02,1.01,0.92,0.85,0.2
orf19.5949,Chr3,FAS2,1,6695.04,18314.95,8218.71,11385.23,1.39,0.27,0.03,0.35
orf19.1840,Chr1,,1,3456.02,7277.54,4163.26,4398.96,1.06,0.68,0.65,0.39
orf19.3047,Chr1,SIP3,1,481.67,803.98,509.8,506.21,0.99,0.9,0.92,0.48
orf19.7285,ChrR,,1,1570.27,2827.33,2006.01,1923.92,0.96,0.77,0.62,0.32
orf19.4746,Chr1,JIP5,1,940.44,1557.43,1084.3,966.78,0.89,0.88,0.69,0.44
orf19.4016,Chr5,COR1,1,5142.12,6953.8,6409.84,4475.23,0.7,0.16,0.03,0.17
orf19.349,Chr3,NCA2,1,496.54,851.92,527.63,509.76,0.97,0.9,0.82,1.18
orf19.4121,Chr2,TES1-4,1,702.2,1381.97,795.42,843.21,1.06,0.98,0.95,0.63
orf19.2343,Chr1,STP22/VPS23,1,533.31,885.01,596.74,583.01,0.98,0.99,0.99,0.53
orf19.7136,Chr7,SPT6,1,1430.57,3101.97,1781.21,2073.15,1.16,0.83,0.58,0.41
orf19.2783,Chr1,PIR32,1,1777.51,3877.99,2177.16,2585.09,1.18,0.64,0.44,2.02
orf19.661,Chr1,KRR1,1,1495.14,2591.2,1724.51,1485.33,0.86,0.89,0.69,0.45
orf19.7115,Chr7,SAC7,1,784.4,2035.37,896.94,1310.66,1.46,0.12,0.08,0.7
orf19.4375.1,ChrR,,1,1972.58,5216.75,2433.92,3277.35,1.35,0.1,0.1,0.45
orf19.871,Chr2,,1,1391.48,2195.45,1703.56,1390.56,0.82,0.38,0.29,0.35
orf19.3871,ChrR,,1,268.44,394.05,252.05,247.59,0.98,0.72,0.76,3.07
orf19.5516,Chr6,SRP72,1,880.81,1571.64,1013.93,981.95,0.97,0.89,0.74,0.69
orf19.4492,Chr2,EBP2,1,1228.24,2838.35,1408.83,1686.54,1.2,0.83,0.28,0.26
orf19.2149,Chr6,,1,550.4,899.9,634.27,594.03,0.94,0.95,0.95,0.51
orf19.756,Chr1,SAP7,1,321.34,478.26,324.78,316.04,0.97,0.53,0.52,45.06
orf19.6139,ChrR,FRE7,1,999.34,1601.78,1243.09,1079.65,0.87,0.73,0.61,0.39
orf19.225,Chr2,,1,553.61,973.33,627.26,580.68,0.93,0.89,0.81,1.78
orf19.1479,Chr2,,1,882.04,1185.87,1053.52,785.33,0.75,0.7,0.36,0.48
orf19.4932,Chr1,MEF1,1,1820.73,3075.21,2114.18,1757.64,0.83,0.57,0.24,0.39
orf19.3736,ChrR,KAR4,1,402.14,512.7,427.07,336.44,0.77,0.66,0.63,1.63
orf19.7442,Chr3,,1,372.88,732.65,370.21,447.03,1.21,0.33,0.38,1.07
orf19.4855,Chr1,BUD31,1,855.21,1621.67,1030.92,1054.3,1.02,0.92,0.8,1.07
orf19.2210,Chr2,,1,500.42,1000.71,567.4,700.5,1.23,0.5,0.41,5.92
orf19.559,ChrR,FGR14,1,604.89,1269.38,661,775.36,1.17,0.46,0.33,0.94
orf19.3412,Chr6,ATG15,1,766.89,1470.36,968.98,1059.54,1.09,0.64,0.38,0.49
orf19.4984,Chr1,,1,440.54,997.36,462.17,640.91,1.39,0.25,0.2,1.05
orf19.5291,Chr4,SCS3,1,423.61,1119.29,434.4,676.22,1.56,0.4,0.19,1.72
orf19.2815,ChrR,PAN4,1,349.19,619.26,347.72,359.88,1.03,0.77,0.78,1.16
orf19.6073,Chr1,HMX1/YLR205C,1,836.93,3971.16,955.51,2320.68,2.43,0.01,0,0.99
orf19.4916,Chr1,,1,995.93,1698.24,1377.45,1297.49,0.94,0.74,0.48,1.51
NC-plant-5,NA,NA,0,198.62,267.48,158.42,168.87,1,0.28,0.33,4.64
NC-SP-phage-05-2,NA,NA,0,210.06,296.57,179.22,198.25,1.06,0.26,0.29,10.68
NC-SP-phage-05-1,NA,NA,0,262.04,364.71,235.23,226.44,0.96,0.62,0.67,3.58
NC-SP-phage-05-16,NA,NA,0,202.75,261.91,168.2,168.73,0.94,0.29,0.32,4.07
orf19.5188,Chr7,CHS1A,1,1735.5,1986.37,2114.5,1218.28,0.58,0.36,0.05,0.33
orf19.6180,Chr3,YDL054C,1,582.8,1186.99,681.59,901.29,1.32,0.53,0.38,0.61
orf19.2514,Chr1,,1,369.36,652.06,375.15,423.16,1.11,0.5,0.43,2.19
orf19.2847,ChrR,,1,442.59,683.43,480.72,465.97,0.95,0.57,0.5,1.84
orf19.5141,Chr7,,1,227.01,349.82,196.68,215.85,1.06,0.41,0.43,3.59
orf19.1251,Chr4,BRN1,1,476.16,758.9,502.45,460.49,0.92,0.72,0.73,0.55
orf19.1881,Chr2,,1,914.15,1425.57,1051.39,896.4,0.85,0.38,0.33,0.3
orf19.260,Chr3,,1,374.77,714.68,395.71,467.56,1.18,0.51,0.45,4.52
orf19.1789,Chr4,LYS1,1,2419.03,6475.31,3063.72,4179,1.36,0.42,0.01,0.28
orf19.2545,ChrR,DOT6,1,1169.78,2119.99,1403.47,1331.68,0.95,0.67,0.58,0.23
orf19.6659,Chr5,GAP5,1,2133.86,6294.12,2985.26,4951.13,1.66,0.36,0.01,0.32
orf19.4931,Chr1,RPL14B,1,9695.63,24472.53,12282.17,15078.48,1.23,0.58,0.03,0.2
orf19.4566,Chr4,ROT3,1,206.3,284.62,166.41,176.69,1.03,0.41,0.46,4.79
orf19.6297,Chr5,DEG1,1,402.43,523.97,424,326.49,0.77,0.39,0.5,0.77
orf19.220,Chr2,PIR1/PIR2,1,4791.06,13490.59,6141.96,8748.44,1.42,0.06,0.03,0.37
orf19.2559,ChrR,CDC4,1,1747.35,2993.78,2085.81,1874.01,0.9,0.57,0.18,0.17
orf19.5910,Chr3,NTO1,1,330.48,473.33,322.78,286.8,0.89,0.87,0.88,0.91
orf19.1586,Chr2,PLC3(PI-PLC)/FGR22,1,1350.29,4383.78,1655.55,2698.76,1.63,0.53,0.14,0.9
orf19.968,Chr5,PGA14,1,9983.9,15923.64,13551.37,11061.2,0.82,0.39,0.12,0.23
orf19.3199,Chr5,PIKa/PIKA,1,940.56,449.68,1079.39,282.05,0.26,0.01,0,0.17
orf19.6090,Chr1,NSR1,1,5227.56,11215.85,6445.37,7064.8,1.1,0.67,0.19,0.23
orf19.6374,ChrR,ATP10,1,827.54,1446.91,949.68,885.35,0.93,1,0.99,0.53
orf19.193,Chr2,,1,255.23,424.41,238.72,289.59,1.19,0.38,0.36,4.46
orf19.5643,Chr4,ECM7,1,439.64,834.28,461.77,544.87,1.18,0.6,0.55,0.67
orf19.1934,Chr5,HST3,1,373.53,485.71,377.91,311.5,0.82,0.68,0.66,0.67
orf19.1276,Chr4,YOR054,1,393.69,1101.4,431.77,722.89,1.67,0.12,0.06,3.03
orf19.4754,Chr1,ZWF1,1,4096.82,10126.21,5380.84,6659.87,1.24,0.24,0.09,0.35
orf19.1860,Chr1,LSC2,1,2614.05,6852.54,3228.71,4359.89,1.35,0.78,0.33,0.49
orf19.2531,ChrR,CSP37,1,3049.48,9302.66,3931.02,6127.29,1.56,0.01,0,0.25
orf19.5513,Chr6,PRP45,1,309.23,581.8,305.79,385.76,1.26,0.38,0.32,1.56
orf19.518,ChrR,NCL1,1,2012.9,4463.31,2417.98,2867.5,1.19,0.58,0.14,0.24
orf19.2018,Chr2,,1,573.56,1028,665.45,690.39,1.04,0.71,0.53,0.31
orf19.1977,Chr5,URA4,1,2488.91,2347.46,2863.1,1421.5,0.5,0.11,0.02,0.19
orf19.4461,Chr1,,1,211.94,286.38,185.57,196.01,1.01,0.52,0.53,5.35
orf19.3755,Chr1,MRPL152,1,575.19,1107.74,655.84,725.03,1.11,0.7,0.5,0.94
orf19.2557,ChrR,SEC65,1,693.18,1238.1,791.84,800,1.01,0.79,0.76,0.45
orf19.5574,Chr6,,1,318.26,632.71,319.2,417.17,1.3,0.39,0.4,22.67
orf19.1195,Chr6,10/01/08,1,567.52,942.53,615.14,597.22,0.97,0.86,0.86,0.41
orf19.4627,Chr4,NUP120,1,834.79,1360.21,944.25,831.57,0.88,0.67,0.18,0.27
orf19.7002,Chr3,,1,257.07,408.91,233.75,258.47,1.09,0.42,0.43,4.74
NC-plant-6,NA,NA,0,186.57,249.1,142.6,154.28,1,0.28,0.32,4.29
NC-SP-phage-03-3,NA,NA,0,198.56,258.3,162.63,168.88,0.97,0.29,0.32,3.91
NC-SP-phage-03-7,NA,NA,0,505.24,871.46,555.89,567.01,1.02,0.77,0.77,0.46
NC-SP-phage-03-8,NA,NA,0,272.97,389.77,254.1,250.38,0.99,0.51,0.56,5.27
orf19.1010,ChrR,KTR3/MNT3/KTR1,1,623.44,994.23,727.32,642.97,0.88,0.83,0.78,0.56
orf19.834,Chr2,MLN1,1,414.97,693.25,421,428.94,1.02,0.84,0.8,0.58
orf19.1343,Chr7,SIN4,1,1494.75,1709.39,1695.16,963.63,0.57,0.47,0.16,0.6
orf19.542,ChrR,HXK2,1,2181.21,5197.44,2835.54,3411.42,1.2,0.52,0.3,0.42
orf19.4574,Chr4,,1,342.25,627.47,339.62,389.53,1.15,0.36,0.41,1.22
orf19.3679,Chr1,,1,999.73,2078.55,1207.13,1408.57,1.17,0.8,0.33,0.47
orf19.3836,Chr4,,1,1139.31,2266.08,1349.97,1432.35,1.06,0.84,0.73,0.29
orf19.3894,Chr5,,1,507.67,797.39,565.74,590.75,1.04,0.97,0.96,0.53
orf19.232,Chr3,MED7,1,397.05,618.99,403.11,397.05,0.98,0.8,0.77,0.94
orf19.2593,ChrR,BIO2,1,3299.19,2702.13,3834.18,1573.37,0.41,0.03,0,0.11
orf19.140,Chr?,,1,274.75,414.22,260.87,272.81,1.05,0.7,0.77,2.81
orf19.2222.1,Chr2,YCK1,1,562.18,872.3,593.3,530.6,0.89,0.92,0.87,0.98
orf19.4524,Chr1,,1,411.57,568.63,418.66,352.66,0.84,0.7,0.65,14.95
orf19.6862,Chr1,,1,521.35,980.49,557.36,582.62,1.05,0.83,0.73,0.73
orf19.6522,Chr7,,1,774.23,1391.08,897.95,906.6,1.01,0.91,0.89,0.31
orf19.1638,Chr3,SEC29,1,473.48,743.62,493.8,452.71,0.92,0.81,0.8,0.71
orf19.6277,Chr1,,1,233.71,357.56,209.43,229.57,1.07,0.38,0.39,3.95
orf19.2717,Chr4,SAS10,1,509.15,830.7,545.9,513.36,0.94,0.84,0.7,0.4
orf19.583,Chr5,BNA2,1,3219.23,3999.44,4102.7,2908.42,0.71,0.29,0.03,0.37
orf19.578,Chr5,MSB3,1,368.54,548.01,383.1,378.75,0.99,0.83,0.8,1.08
orf19.2370,Chr6,DSL1,1,453.01,669.03,474.49,420.49,0.89,0.8,0.78,0.59
orf19.5735,Chr6,,1,890.11,1538.77,1248.3,1109.9,0.89,0.6,0.47,1.65
orf19.5681,Chr5,,1,407.22,544.04,417.86,349.8,0.84,0.88,0.86,1.48
orf19.3730,ChrR,KRE27,1,1075.11,3073.77,1316.59,2038.85,1.55,0.19,0.01,0.43
orf19.313,Chr3,DAL4,1,549.32,795.84,610.53,508.07,0.83,0.54,0.42,0.47
orf19.1750,Chr2,,1,1137.86,2669.35,1510.97,1768.79,1.17,0.52,0.47,0.84
orf19.2298,Chr1,WBP1,1,1678.61,2949.06,1938.4,1866.59,0.96,0.76,0.64,0.3
orf19.6834.10,ChrR,TAR1,1,336.38,428.4,351.28,266.95,0.76,0.88,0.9,1.91
orf19.4975,Chr1,HYR1/GPX1,1,324.24,527.44,317.37,329.52,1.04,0.65,0.69,1.31
orf19.2989,Chr1,,1,1919.02,3890.57,2302.88,2424.73,1.05,0.74,0.38,0.52
orf19.5328,Chr4,GCN1,1,1432.02,2465.6,1674.59,1487.24,0.89,0.69,0.52,0.34
orf19.310,Chr3,ECM182,1,292.7,515.74,286.93,348.87,1.22,0.38,0.37,24
orf19.6957,Chr3,,1,311.95,462.96,305.59,284.73,0.93,0.93,0.94,1.33
orf19.2032,Chr2,,1,415.87,728.47,470.5,521.37,1.11,0.71,0.71,1.39
orf19.494,ChrR,NAF1,1,722.48,1083.7,823.48,693.5,0.84,0.23,0.24,0.3
NC-plant-7,NA,NA,0,182.1,227.68,138.9,143.22,0.92,0.3,0.34,2.27
NC-bacteria-10-7,NA,NA,0,223.15,301.74,187.85,189.22,1,0.38,0.42,21.41
NC-bacteria-10-2,NA,NA,0,190.94,240.88,151.6,154.42,0.93,0.3,0.33,3.44
NC-bacteria-10-5,NA,NA,0,182.92,234.74,141.63,149.12,0.93,0.3,0.33,2.2
orf19.81,Chr?,RRP46,1,234.05,328.14,203.88,198.76,0.92,0.52,0.51,1.77
orf19.5346,Chr4,TAF65,1,548.17,1069.03,636.71,773.98,1.22,0.63,0.4,0.94
orf19.5389,Chr3,FKH2,1,386.07,513.84,396.92,342.52,0.86,0.68,0.64,13.7
orf19.6168,ChrR,,1,267.9,419.55,247.66,262.36,1.06,0.43,0.44,32.15
orf19.524,ChrR,MLO2,1,495.95,914.9,552.79,619.89,1.12,0.48,0.43,0.55
orf19.2857,ChrR,SSL2,1,820.7,1690.96,950.02,1084.9,1.14,0.58,0.39,0.74
orf19.5799,Chr2,,1,1424.68,2982.44,1650.53,1848.86,1.12,0.68,0.2,0.27
orf19.6376,ChrR,PTC5,1,953.28,1752.08,1153.41,1166.39,1.01,0.99,0.97,0.27
orf19.3026,Chr1,MAS1,1,710.04,1470.8,821.89,941.66,1.15,0.73,0.55,1.1
orf19.6338,Chr6,,1,504.63,823.93,642.98,638.87,0.99,0.78,0.72,2.03
orf19.2310.1,Chr1,RPL29,1,295.07,501.25,289.63,318.29,1.1,0.39,0.39,67.78
orf19.1678,Chr3,,1,393.22,691.74,403.57,438.77,1.09,0.66,0.74,0.72
orf19.3738,ChrR,PGA22,1,208.82,283.34,177.1,179.84,0.97,0.28,0.31,6.45
orf19.2277,Chr2,TPK2,1,703.84,1357.98,808.57,888.15,1.1,0.24,0.13,0.49
orf19.6667,Chr5,(SAP30),1,994.55,1711.19,1303.72,1308.33,1,0.99,0.98,0.44
orf19.4721,Chr1,,1,448.82,734.75,483.88,458.43,0.95,0.98,0.98,0.82
orf19.362,Chr4,CTA2,1,5423.48,11233.09,6893.95,6682.28,0.97,0.95,0.81,0.68
orf19.4521,Chr2,,1,443.93,907.2,482.22,590.64,1.22,0.32,0.25,1.47
orf19.3658,Chr6,,1,914.06,1664.77,1090.28,1085.41,1,0.87,0.58,0.32
orf19.538,ChrR,GPI2,1,252.41,430.87,232.43,278.09,1.17,0.35,0.35,3.73
orf19.3012,Chr1,ARO80,1,438.79,672.66,476.53,443.1,0.93,0.92,0.91,0.7
orf19.6828,Chr3,SSS1,1,2743.13,7895.78,3559.82,5055.79,1.42,0.65,0.06,0.44
orf19.1107,Chr5,,1,750.28,1519.71,1006.82,1275.99,1.27,0.84,0.66,0.75
orf19.1675,Chr3,,1,475.44,849.39,513.06,580.65,1.13,0.57,0.45,2.26
orf19.7316,ChrR,,1,533.84,1065.09,578.81,639.92,1.11,0.57,0.56,0.88
orf19.5890,Chr3,,1,988.41,1595.54,1133.42,967.12,0.85,0.94,0.88,0.92
orf19.7601,ChrR,,1,575.08,999.74,656.56,646.51,0.98,0.89,0.91,0.66
orf19.2583.1,ChrR,,1,531.15,888.24,616.75,637.55,1.03,0.97,0.95,0.71
orf19.6185,Chr3,,1,362.96,523.39,368.14,344.42,0.94,0.67,0.64,4.76
orf19.82,Chr?,,1,410.51,536.51,415.49,344.1,0.82,0.6,0.57,8.23
orf19.3279,Chr2,HYR8/HYR4/IFF7,1,362.18,640.53,371.51,421.14,1.13,0.44,0.47,2.67
orf19.3870,ChrR,ADE13,1,2177.39,3705.19,2676.56,2406.8,0.9,0.85,0.47,0.31
NC-plant-8,NA,NA,0,190.55,243.34,149.02,153.05,0.95,0.29,0.33,3.55
NC-bacteria-9-4,NA,NA,0,238.43,331.13,208.8,213.09,1.02,0.49,0.55,6.11
NC-bacteria-9-9,NA,NA,0,327.66,479.85,330.81,324.12,0.98,0.82,0.85,1.45
NC-bacteria-9-11,NA,NA,0,210.79,262.89,176.74,167.71,0.91,0.3,0.32,20.26
orf19.4407,Chr4,,1,761.64,1647.01,856.43,993.44,1.16,0.61,0.35,1.59
orf19.1765,Chr2,IFO2,1,1159.5,1826.81,1518.92,1282.36,0.84,0.99,0.98,0.38
orf19.5741,Chr6,ALS1-2/ALS1,1,238.59,407.69,215.2,257.29,1.2,0.28,0.33,13.57
orf19.2259,Chr2,,1,585.56,1142.01,638.19,660.85,1.04,0.92,0.86,0.62
orf19.5614,Chr6,RNH2,1,1613.35,7113.96,1856.4,3857.78,2.08,0.29,0.18,1.47
orf19.6981,Chr3,,1,1661.89,4304.02,2181.08,3210.49,1.47,0.75,0.34,1.92
orf19.3334,Chr1,RPS21,1,6891.17,17135.33,8841.98,10132.12,1.15,0.7,0.71,0.52
orf19.7425,Chr3,UNG1,1,476.7,943.31,517.1,561.42,1.09,0.9,0.89,1.01
orf19.1384,Chr2,,1,458.26,748.97,472.79,449.05,0.95,0.85,0.83,0.63
orf19.6170,Chr3,BIK1,1,625.05,1263.84,694.3,747.37,1.08,0.66,0.59,1.24
orf19.3227,Chr2,FTH2,1,1103.82,1837.51,1274.5,1162.4,0.91,0.66,0.42,0.29
orf19.2607,ChrR,PMU2,1,555.26,1787.5,637.95,1082.7,1.7,0.03,0.12,1.46
orf19.7078,Chr7,,1,631,1736.21,783.37,1295.81,1.65,0.36,0.19,0.91
orf19.7547,ChrR,PIB1,1,382.04,938.79,397.23,603.74,1.52,0.3,0.27,48.25
orf19.5520,Chr6,,1,307.33,448.21,330.76,326.13,0.99,0.66,0.65,5.09
orf19.3168,Chr5,RPN8,1,1654.41,3307.2,2157.76,2440.11,1.13,0.74,0.24,0.52
orf19.5037,Chr4,,1,391.11,563.27,406.9,338.9,0.83,0.55,0.56,0.6
orf19.2443,Chr1,RGD1,1,948.3,1462.4,1062.49,945.67,0.89,0.65,0.39,0.31
orf19.2360,Chr6,URA2,1,1239.58,2330.7,1409.54,1404,1,0.87,0.7,0.38
orf19.5049,Chr1,,1,839.89,1636.54,965.86,988.69,1.02,0.96,0.95,0.47
orf19.5417,Chr3,DOT5,1,3748.41,9355.31,5031.31,5919.42,1.18,0.36,0.37,0.72
orf19.5940,Chr3,,1,470.3,721.53,501.3,461.14,0.92,0.76,0.74,0.57
orf19.1381,Chr2,LSB5,1,537.81,1058.83,639.34,772.22,1.21,0.49,0.28,0.67
orf19.3196,Chr5,,1,335.54,593.22,347.72,386.1,1.11,0.72,0.8,2.08
orf19.2256,Chr2,,1,447.85,1023.82,490.16,628.93,1.28,0.32,0.31,2.08
orf19.2211,Chr2,,1,531.37,965.72,670.99,725.45,1.08,0.49,0.4,6.27
orf19.4000,Chr5,PHO2,1,733.23,675.89,835.69,432.2,0.52,0,0,0.14
orf19.7523,ChrR,MKC1,1,520.76,1284.48,575.62,830.63,1.44,0.11,0.1,0.94
orf19.4749,Chr1,,1,965.33,1123.97,1065.96,698.39,0.66,0.33,0.13,0.32
orf19.4543,Chr1,UGA22/UGA2,1,681.88,1552.88,761.52,947.66,1.24,0.28,0.18,0.6
orf19.3415.1,Chr6,PTK2/RPL32,1,1228.96,1866.81,1462.67,1195.47,0.82,0.7,0.15,0.2
orf19.6847,Chr1,,1,604.97,1150.1,674.42,723.31,1.07,0.74,0.61,0.67
orf19.5821,Chr2,,1,242,373.23,215.62,231.56,1.05,0.43,0.46,4.57
orf19.5601,Chr6,,1,510.71,1038.21,575.64,688.6,1.2,0.27,0.36,0.8
orf19.2538,ChrR,PTC2,1,1764.38,3113.48,2160.69,1980.81,0.92,0.34,0.27,0.15
orf19.1168,Chr1,,1,2491.62,5466.14,3292.15,3896.18,1.18,0.52,0.07,0.2
orf19.1797,Chr4,,1,1617.39,4477.49,2148.83,2938.34,1.37,0.27,0.09,2.16
orf19.580,Chr5,,1,340.85,574.63,349.58,406.05,1.16,0.46,0.47,1.05
orf19.2116,Chr2,NAT2,1,1272.27,2941.38,1640.01,2012.34,1.23,0.29,0.11,0.42
orf19.4509,Chr2,,1,196.23,252.38,159.8,159.82,0.92,0.54,0.56,3.1
orf19.3402,Chr6,,1,1242.4,2369.74,1527.03,1571.48,1.03,0.85,0.83,0.33
NC-bacteria-5-4,NA,NA,0,357.79,553.14,361.7,357.6,0.99,0.89,0.91,0.92
NC-bacteria-5-11,NA,NA,0,201.75,266.2,162.51,166.33,0.98,0.28,0.32,6.74
NC-bacteria-5-12,NA,NA,0,202.8,263.57,165.22,166.36,0.95,0.29,0.33,6.33
orf19.1496,Chr2,,1,577.3,821.05,629.03,484.08,0.77,0.31,0.25,0.66
orf19.7312,ChrR,ERG13,1,3235.5,7323.51,3912.21,4242.71,1.08,0.85,0.69,0.34
orf19.4844,Chr1,AIR1,1,687.81,1297.62,784.13,815.06,1.04,0.9,0.84,0.46
orf19.209,Chr2,DFG10,1,254.25,443,230.12,273.78,1.19,0.31,0.38,3.51
orf19.1772,Chr2,,1,276.55,439.47,252.66,265.02,1.05,0.62,0.67,1.89
orf19.2616,ChrR,ATG26/UGT51C1,1,800.34,1460.14,936.71,947.65,1.01,0.87,0.86,0.33
orf19.7349,Chr3,CHS4(SKT5)/CHS4/CAL2/CSD4/SKT5,1,609.63,1028.41,699.47,661.87,0.95,0.92,0.86,0.54
orf19.3720,ChrR,,1,1026.47,1508.99,1254.5,1041.03,0.83,0.37,0.17,0.25
orf19.6291,Chr5,FUN30,1,1704.89,2992.36,2150.43,1960.46,0.91,0.86,0.4,0.31
orf19.6881,Chr2,YTH1,1,6222.12,14135.15,9228.01,11141.44,1.21,0.58,0.02,0.26
orf19.5812,Chr2,,1,1769.31,4834.62,2221.34,3233.09,1.46,0.44,0.02,0.43
orf19.1020,Chr7,,1,517.77,1178.51,565.85,754.86,1.33,0.31,0.4,0.89
orf19.4228,Chr5,,1,849.1,1544.3,1032.49,1032.5,1,0.89,0.82,0.47
orf19.1850,Chr1,SIW14,1,458.73,863.41,500.69,605.84,1.21,0.42,0.37,0.61
orf19.5967,Chr3,FGR44,1,980.19,1539.84,1188.12,1039.83,0.88,0.63,0.31,0.35
orf19.5487,Chr2,CDC46,1,847.77,1428.55,964.76,866.2,0.9,0.68,0.2,0.2
orf19.2324,Chr1,UBA4,1,583.17,1255.5,636.66,746.25,1.17,0.47,0.39,1.34
orf19.2365,Chr6,POL2,1,1152.52,2096.97,1352.34,1231.72,0.91,0.47,0.36,0.36
orf19.1158,Chr1,,1,447.37,780.74,474.97,494.62,1.04,0.73,0.62,2.56
orf19.1047,Chr1,ERB1,1,1438.9,2498,1734.98,1481.88,0.85,0.82,0.51,0.51
orf19.4617,Chr4,MAK3,1,814.27,1935.91,1052,1393.72,1.32,0.58,0.24,1.34
orf19.3250,Chr2,PRP40,1,622.43,1180.22,699.84,750.39,1.07,0.85,0.77,0.49
orf19.6118,ChrR,,1,611.03,944.2,766.61,629.01,0.82,1,1,0.91
orf19.2401,ChrR,AUT2,1,461.79,808.19,518.21,565.53,1.09,0.7,0.59,2.18
orf19.2070,Chr2,RSC58,1,801.31,1104.76,896.37,666.58,0.74,0.44,0.18,0.38
orf19.5428,Chr3,ATX2,1,411,884.34,435.44,570.67,1.31,0.15,0.16,0.86
orf19.6966,Chr3,CKI1,1,613.44,1139.37,680,702.64,1.03,0.75,0.49,0.73
orf19.7510,ChrR,KIN2,1,1579.73,2762.32,1869.19,1767.6,0.95,0.71,0.54,0.27
orf19.5392,Chr3,,1,524.64,823.14,551.14,515.99,0.94,0.86,0.72,0.52
orf19.240,Chr3,,1,1711.17,3695.93,2118.07,2323.21,1.1,0.8,0.42,0.26
orf19.137,Chr6,,1,2260.86,4563.41,2763.71,2793.67,1.01,0.93,0.77,0.29
orf19.5802,Chr2,,1,649.15,1407.13,730.31,866.8,1.19,0.43,0.5,0.7
orf19.5067,Chr1,,1,753.74,1523.3,895.25,1013.15,1.13,0.53,0.56,0.46
orf19.1776,Chr2,,1,333.16,564.03,323.39,355.04,1.1,0.52,0.54,0.95
orf19.7434,Chr3,GLG2,1,445.7,926.36,471.07,585.75,1.24,0.2,0.31,0.86
